customer_id,name,email,phone,credit_card,signup_date,product
1,Tamara Bridges,imiller@example.net,+61 8 5318 2429,2229029354697237,2024-01-19,ea
2,Dawn Ellison,patrick05@example.com,+61.423.350.822,376436500531282,2023-07-12,numquam
3,Jake Henderson,jacksonandrea@example.com,55321228,3516649842958964,2020-04-24,debitis
4,Kerry Moore,iwilson@example.org,(02).6701.8672,4836585505108417,2021-03-10,minima
5,Rebecca Castro,uadams@example.com,+61352970121,6011018780695066,2021-04-07,minima
6,Breanna Perez,morganronald@example.com,(03) 2690 7229,4634720433834181855,2024-05-31,quae
7,Randy Le,avilajudy@example.com,+61 455 706 853,3512205454059619,2020-06-11,architecto
8,Breanna Bonilla,nashdylan@example.net,6862 5425,4762407623151047,2023-11-18,placeat
9,Kimberly Barnes,schaefermichael@example.com,+61-486-959-903,3541443839250448,2023-02-14,illum
10,James Rosales MD,julianrowland@example.com,0816 5522,213107864482175,2022-07-27,nobis
11,Elijah Martinez,farrellnicole@example.net,02 8851 0893,4447616787746906376,2026-02-21,ab
12,Travis Myers,zyoung@example.org,03 6938 7759,30360356190837,2023-01-05,et
13,John Thompson,nancyjoyce@example.com,+61-7-7732-3467,3596761428614524,2021-06-14,distinctio
14,Samuel Cooper,john81@example.org,+61.2.8282.8413,373603150724094,2023-08-24,eos
15,Travis Schmidt,johnblack@example.com,(02) 8911 4601,2296588291041963,2024-07-25,odit
16,Karen Boyer,christianhenderson@example.com,(08)34051003,345274920435604,2025-11-14,error
17,Gregory Clark,walkerwendy@example.org,0403-356-180,4675362800970368528,2020-05-21,nisi
18,Charles Hawkins,cpatel@example.net,+61-2-8250-7910,4028143447206,2026-07-17,voluptas
19,Taylor Wells,nmclaughlin@example.net,03.6587.9076,3589247565666898,2023-06-26,omnis
20,Danielle Scott,irobinson@example.com,+61 472 085 102,5569491244436401,2022-08-01,facilis
21,Anne Boyer,mhernandez@example.org,7926 1444,3534699914259542,2022-11-01,soluta
22,Tina Fischer,reneebaker@example.org,(07)-5507-4569,4741339463635,2020-09-26,et
23,Christian Castillo,bradfordaaron@example.net,08-6216-9956,2422196080966973,2022-12-31,qui
24,Kendra Roman,oanderson@example.net,+61.489.833.999,3586524476147405,2020-05-24,pariatur
25,Antonio Gardner,anaperkins@example.com,8396 0236,3593913447756306,2021-01-16,repellat
26,Margaret Nguyen,williamskelly@example.org,02.2542.1228,502022372697,2023-02-12,maiores
27,Mrs. Kathryn Diaz MD,david95@example.org,9532 4668,3596663865975782,2022-07-10,mollitia
28,Billy Tanner,noahbaker@example.com,+61-7-0920-1904,180051186685017,2021-09-07,alias
29,Meghan Rivers,jordanyolanda@example.com,+61-8-2304-2958,30543504463640,2021-05-09,inventore
30,Richard Thompson,williamskimberly@example.net,0403-492-153,4799863340624467,2021-02-06,velit
31,Jennifer Skinner,goodmancynthia@example.net,+61-3-1175-5254,4168552407943893,2024-01-10,temporibus
32,Meredith Kelly,patrickkhan@example.net,08.5130.8130,180089897692310,2024-01-11,ad
33,David Alvarez II,claire54@example.org,(08) 8534 6974,4293720343465926590,2020-07-08,quae
34,Emily Berg,morsesarah@example.net,+61729325611,4411529530477616182,2020-11-05,quisquam
